abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn
abachbibuuu,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn
four,twenty-five,back-to-back,twenty-two,half-dozen,twenty-four,twenty-six,twenty-eight,twenty-three,twenty-seven,thirty-six,thirty-two,twenty-one,thirty-five,thirty-three,twenty-nine,one-half,thirty-four,two-and-a-half
music,musics,hip-hop,ringtones,accompaniment,ballads,soulful,symphonic,songwriters,anthems,singer/songwriter,singer-songwriter,pop/rock,acapella,choirs,polyphonic,carols,orchestras,remixing
society,socio-economic,well-being,polity,middle-class,nineteenth,globalisation,intelligentsia,socio-political,twenty-first,milieu,decision-making,pluralistic,humanistic,cannot,self-interest,globalized,nation-state,pluralism
fantasies,daydreams,imaginings,perversions,fancies,lustful,escapades,lurid,longings,titillating,fictions,eroticism,yearnings,carnal,smutty,make-believe,amorous,proclivities,voyeurism
place,cannot,etc.,half-way,lets,n?t,in-between,palce,dont,?s,wont,inthe,thats,set-up,no-one,bustling,cant,?ll,didnt
dreams,daydreams,imaginings,longings,dreamers,fancies,yearnings,reverie,longed,dreamland,boyhood,yearns,fairytales,faraway,'cause,stardom,conjures,destinies,awakens
pill,phentermine,levitra,cialis,rx,perscription,tramadol,ultram,zoloft,prozac,fda,paxil,lexapro,propecia,tadalafil,sildenafil,wellbutrin,effexor,zithromax
thrill,exhilaration,adrenalin,excitment,electrifying,spine-tingling,mind-blowing,action-packed,heart-stopping,roller-coaster,heart-pounding,elation,white-knuckle,awe-inspiring,breathless,delights,wonderment,once-in-a-lifetime,enthralling
laserbeams,laserbeams,lazors,lazers,laserbeam,sploding,jetwash,minnions,bleedy,laser-beam,jawas,bulletholes,idiocity,corraling,thingos,dragonflys,extemists,rayguns,garrish
ah,lah,la.,hehehehe,haa,aah,aaah,hahaa,leh,yee,hahahha,seh,loh,yan,liao,lar,fren,hahha,wei
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn
ah,lah,la.,hehehehe,haa,aah,aaah,hahaa,leh,yee,hahahha,seh,loh,yan,liao,lar,fren,hahha,wei
star,co-star,starlet,co-stars,heartthrob,all-star,showbiz,stardom,costar,four-star,mogul,megastar,five-star,22-year-old,sci-fi,socialite,two-time,24-year-old,crooner
ah,lah,la.,hehehehe,haa,aah,aaah,hahaa,leh,yee,hahahha,seh,loh,yan,liao,lar,fren,hahha,wei
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn
no,cannot,wont,dont,doesnt,cant,no-one,didnt,isnt,n?t,doesn,couldnt,thats,non-existent,didn,'cause,hasnt,aint,n`t
high,high-quality,hight,hig,ultra-high,long-term,high-end,high-performance,high-density,sky-high,high-school,cost-effective,high-speed,unsurpassed,above-average,super-high,top-notch,cannot,low-cost
gone,wont,didnt,havent,'cause,n?t,cant,thats,cannot,aint,dont,couldnt,no-one,hasnt,isnt,hes,didn,doesnt,?ve
trace,isotope,retrace,tell-tale,decomposed,contaminant,encapsulate,cannot,genealogical,isotopic,vestiges,selenium,perceptible,sediments,provenance,logger,chlorophyll,discernable,residues
estrade,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn
deformaty,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn
off,didnt,wont,lets,cant,dont,thats,half-way,?s,cannot,couldnt,ashore,doesnt,n?t,'cause,hes,cruised,unceremoniously,strolled
