abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn,swain,effed
abachbibuuu,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn,swain,effed
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn,swain,effed
two,half-dozen,back-to-back,twenty-five,twenty-two,twenty-four,twenty-three,twenty-six,thirty-two,twenty-eight,twenty-seven,thirty-six,so-called,twenty-one,thirty-five,one-half,well-known,cannot,forty-five,high-profile,thirty-three
three,twenty-five,half-dozen,back-to-back,twenty-two,twenty-four,twenty-six,twenty-three,twenty-eight,twenty-seven,twenty-one,thirty-six,thirty-five,thirty-two,thirty-three,forty-five,one-half,twenty-nine,thirty-four,two-and-a-half,thirty-one
four,twenty-five,back-to-back,twenty-two,half-dozen,twenty-four,twenty-six,twenty-eight,twenty-three,twenty-seven,thirty-six,thirty-two,twenty-one,thirty-five,thirty-three,twenty-nine,one-half,thirty-four,two-and-a-half,forty-five,forty-eight
music,musics,hip-hop,ringtones,accompaniment,ballads,soulful,symphonic,songwriters,anthems,singer/songwriter,singer-songwriter,pop/rock,acapella,choirs,polyphonic,carols,orchestras,remixing,melodious,musicianship
bored,havent,im,juz,cant,'cause,wont,la.,didnt,couldnt,sian,dont,hes,lyk,arent,liao,thats,contented,lah,hahas,mayb
society,socio-economic,well-being,polity,middle-class,nineteenth,globalisation,intelligentsia,socio-political,twenty-first,milieu,decision-making,pluralistic,humanistic,cannot,self-interest,globalized,nation-state,pluralism,inextricably,socio-cultural
out,lets,n?t,cant,dont,cannot,didnt,wont,thats,?s,couldnt,'cause,?ll,havent,?ve,etc.,doesnt,y',?re,half-way,hurriedly
fantasies,daydreams,imaginings,perversions,fancies,lustful,escapades,lurid,longings,titillating,fictions,eroticism,yearnings,carnal,smutty,make-believe,amorous,proclivities,voyeurism,lovemaking,sadism
you,lets,cannot,dont,?ll,n?t,cant,wont,n`t,?re,doesnt,thats,'cause,didnt,y',couldnt,no-one,doesn,didn,e-mail,isnt
place,cannot,etc.,half-way,lets,n?t,in-between,palce,dont,?s,wont,inthe,thats,set-up,no-one,bustling,cant,?ll,didnt,picturesque,abode
made,cannot,didnt,thats,etc.,hand-made,n?t,havent,?s,dont,handcrafted,cant,home-made,procured,wont,so-called,isnt,couldnt,doubtless,adorned,?ve
dreams,daydreams,imaginings,longings,dreamers,fancies,yearnings,reverie,longed,dreamland,boyhood,yearns,fairytales,faraway,'cause,stardom,conjures,destinies,awakens,conjuring,heartaches
cap,conical,snapback,visors,headwear,embroidered,fastener,t-shirt,o-ring,drawstring,overcoat,ribbed,fastening,spigot,neoprene,rivet,twill,beanies,fastened,neckline,interlock
down,lets,cant,half-way,leaped,wont,didnt,'cause,thats,inched,cannot,couldnt,tumbled,dont,inching,nudged,roared,surged,hurriedly,trailed,briskly
pill,phentermine,levitra,cialis,rx,perscription,tramadol,ultram,zoloft,prozac,fda,paxil,lexapro,propecia,tadalafil,sildenafil,wellbutrin,effexor,zithromax,kamagra,nexium
yourself,youself,ourself,?re,?ll,n?t,lets,pamper,cannot,dont,'cause,wont,cant,y',self-esteem,no-one,n`t,de-stress,himself/herself,thats,pampering
colored,multi-colored,multicolored,hues,hued,iridescent,multi-coloured,adorned,mottled,pinkish,lilac,off-white,mauve,pastels,bluish,multicolor,multicoloured,embossed,fuchsia,tints,speckled
thrill,exhilaration,adrenalin,excitment,electrifying,spine-tingling,mind-blowing,action-packed,heart-stopping,roller-coaster,heart-pounding,elation,white-knuckle,awe-inspiring,breathless,delights,wonderment,once-in-a-lifetime,enthralling,thrill-seekers,breath-taking
world,world-wide,world-class,worl,cannot,cyberspace,wolrd,?s,twenty-first,globalized,frontiers,modern-day,marvels,countrys,high-tech,well-known,preeminent,ever-changing,best-known,lets,fastest-growing
diamonds,sapphires,carat,gemstones,rubies,carats,gemstone,topaz,amethyst,zirconia,tanzanite,karat,aquamarine,marquise,peridot,citrine,opals,onyx,jewelery,garnet,semi-precious
laserbeams,laserbeams,lazors,lazers,laserbeam,sploding,jetwash,minnions,bleedy,laser-beam,jawas,bulletholes,idiocity,corraling,thingos,dragonflys,extemists,rayguns,garrish,seeign,orange/pink
ah,lah,la.,hehehehe,haa,aah,aaah,hahaa,leh,yee,hahahha,seh,loh,yan,liao,lar,fren,hahha,wei,tink,hihi
us,cannot,lets,dont,e-mail,cant,wont,y',no-one,n?t,enquire,didnt,?ll,ourself,couldnt,'cause,enquiries,didn,enquiry,etc.,co-workers
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn,swain,effed
ah,lah,la.,hehehehe,haa,aah,aaah,hahaa,leh,yee,hahahha,seh,loh,yan,liao,lar,fren,hahha,wei,tink,hihi
be,cannot,n?t,wont,etc.,?re,dont,cant,isnt,thats,arent,doubtless,?ll,herein,didnt,tobe,doesnt,n`t,long-term,hereafter,no-one
star,co-star,starlet,co-stars,heartthrob,all-star,showbiz,stardom,costar,four-star,mogul,megastar,five-star,22-year-old,sci-fi,socialite,two-time,24-year-old,crooner,three-star,up-and-coming
ah,lah,la.,hehehehe,haa,aah,aaah,hahaa,leh,yee,hahahha,seh,loh,yan,liao,lar,fren,hahha,wei,tink,hihi
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn,swain,effed
suppose,dont,didnt,no-one,'cause,thats,cant,n?t,wont,doesnt,altho,couldnt,cannot,didn,havent,isnt,doubtless,y',eventhough,doesn,daresay
hit,rocketed,rebounded,all-time,didnt,back-to-back,cant,thats,leadoff,soared,go-ahead,grounder,dont,clobbered,surged,record-breaking,homered,two-run,homeruns,wont,surging
no,cannot,wont,dont,doesnt,cant,no-one,didnt,isnt,n?t,doesn,couldnt,thats,non-existent,didn,'cause,hasnt,aint,n`t,etc.,cialis
get,wont,cant,dont,didnt,cannot,n?t,couldnt,doesnt,lets,thats,?ll,havent,'cause,isnt,arent,geting,didn,?re,y',n`t
it's,it's,you're,that's,don't,it.s,you'll,doesn't,can't,you'er,butit,iys,appearantly,itts,htat,thisis,apparenlty,obviosuly,theye,evidentally,therre
high,high-quality,hight,hig,ultra-high,long-term,high-end,high-performance,high-density,sky-high,high-school,cost-effective,high-speed,unsurpassed,above-average,super-high,top-notch,cannot,low-cost,long-lasting,high-tech
breath,exhaled,exhalation,stillness,wheezing,breathless,exhales,shuddering,perspiration,hoarse,murmured,inhales,quivering,respiration,labored,murmur,groaned,gurgling,odour,shuddered,phlegm
gone,wont,didnt,havent,'cause,n?t,cant,thats,cannot,aint,dont,couldnt,no-one,hasnt,isnt,hes,didn,doesnt,?ve,hadnt,im
trace,isotope,retrace,tell-tale,decomposed,contaminant,encapsulate,cannot,genealogical,isotopic,vestiges,selenium,perceptible,sediments,provenance,logger,chlorophyll,discernable,residues,elucidate,anomalous
inches,centimetres,in.,millimetres,10cm,20cm,15cm,30cm,5cm,25cm,40cm,2cm,inchs,4cm,3cm,7cm,1-inch,1cm,6cm,2-inch,diameters
estrade,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn,swain,effed
seconds,mintues,half-second,microseconds,1min,minuets,two-minute,five-minute,tenths,nanoseconds,minuts,10-second,3-pointer,miliseconds,30-second,one-minute,2mins,hundredths,msec,5mins,three-pointer
deformaty,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn,swain,effed
intent,furtherance,defraud,cannot,allege,devising,construe,doubtless,hell-bent,alleging,contends,contended,plaintiffs,precluded,authorizing,abetting,foregoing,complicity,memorandum,petitioner,stipulated
off,didnt,wont,lets,cant,dont,thats,half-way,?s,cannot,couldnt,ashore,doesnt,n?t,'cause,hes,cruised,unceremoniously,strolled,etc.,nipped
space,cyberspace,adjoining,mezzanine,cavernous,playroom,sq.,cannot,m2,in-between,entryway,cubicles,atrium,three-dimensional,spaceflight,accommodates,foyer,alcove,ground-floor,furnishings,space-time
solo,soloist,concerto,virtuoso,duets,quintet,recital,soprano,bluesy,improvisations,soloists,oboe,virtuosic,saxophonist,singer/songwriter,sideman,accompaniment,symphonic,cappella,percussionist,aria
hoo,hooo,whoo,hoooo,whooo,haa,woooo,yippee,booo,hooooo,whoooo,yoo,noo,yey,wooooo,whee,heee,haaa,yee,hoooooo,hurray
hoo,hooo,whoo,hoooo,whooo,haa,woooo,yippee,booo,hooooo,whoooo,yoo,noo,yey,wooooo,whee,heee,haaa,yee,hoooooo,hurray
aaa,aaa,aaaa,aaaaa,bbb,duracell,caa,hartford,aarp,new-model,ccc,alberta,milwaukee,aaaaaa,usaa,nimh,edmonton,maryland,allstate,midatlantic,cincinnati
aaa,aaa,aaaa,aaaaa,bbb,duracell,caa,hartford,aarp,new-model,ccc,alberta,milwaukee,aaaaaa,usaa,nimh,edmonton,maryland,allstate,midatlantic,cincinnati
ah,lah,la.,hehehehe,haa,aah,aaah,hahaa,leh,yee,hahahha,seh,loh,yan,liao,lar,fren,hahha,wei,tink,hihi
us,cannot,lets,dont,e-mail,cant,wont,y',no-one,n?t,enquire,didnt,?ll,ourself,couldnt,'cause,enquiries,didn,enquiry,etc.,co-workers
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn,swain,effed
ah,lah,la.,hehehehe,haa,aah,aaah,hahaa,leh,yee,hahahha,seh,loh,yan,liao,lar,fren,hahha,wei,tink,hihi
be,cannot,n?t,wont,etc.,?re,dont,cant,isnt,thats,arent,doubtless,?ll,herein,didnt,tobe,doesnt,n`t,long-term,hereafter,no-one
star,co-star,starlet,co-stars,heartthrob,all-star,showbiz,stardom,costar,four-star,mogul,megastar,five-star,22-year-old,sci-fi,socialite,two-time,24-year-old,crooner,three-star,up-and-coming
ah,lah,la.,hehehehe,haa,aah,aaah,hahaa,leh,yee,hahahha,seh,loh,yan,liao,lar,fren,hahha,wei,tink,hihi
abachbida,attr,conj,dep,dobj,expl,hmod,intj,nn,obj,obl,parataxis,poss,prt,punct,monorail,spring/summer,glorifies,hymn,swain,effed
calm,calmness,tranquil,tranquility,placid,stillness,restful,sedate,peacefulness,tranquillity,soothed,easygoing,easy-going,unruffled,sooth,laid-back,quietness,contented,idyllic,untroubled,pensive
